Symptom_id;Disease_id;Severity;Symptom_desc;Disease_desc
1;163;2;Upper abdominal pain;Cholecystitis inflammation of the gallbladder
1;164;2;Upper abdominal pain;Choledocholithiasis stone in bile duct
1;165;1;Upper abdominal pain;Cholelithiasis gallstones
1;187;2;Upper abdominal pain;Constipation
1;306;2;Upper abdominal pain;Gastric ulcer stomach ulcer
1;307;1;Upper abdominal pain;Gastritis stomach inflammation
1;308;2;Upper abdominal pain;Gastroenteritis intestinal infection
1;309;2;Upper abdominal pain;Gastroesophageal reflux GERD, heartburn
1;354;1;Upper abdominal pain;Hiatal hernia stomach pushes through diaphragm
1;401;1;Upper abdominal pain;Irritable bowel syndrome IBS, chronic intestinal pain and cramping
1;411;1;Upper abdominal pain;Bowel obstruction intestinal blockage
1;513;1;Upper abdominal pain;Kidney stone nephrolithiasis
1;546;2;Upper abdominal pain;Pancreatitis pancreas inflammation
1;722;1;Upper abdominal pain;Splenic infarction death of spleen
1;139;1;Upper abdominal pain;Celiac disease celiac sprue
1;988;2;Upper abdominal pain;Lactose intolerance
1;1115;2;Upper abdominal pain;Ventral hernia bulging of the abdominal wall
1;56;1;Upper abdominal pain;Appendicitis
1;115;0;Upper abdominal pain;Bronchitis bronchial tube infection
1;140;0;Upper abdominal pain;Cellulitis skin infection
1;179;1;Upper abdominal pain;Colonic diverticulitis inflammation of pouches in the large intestine
1;195;0;Upper abdominal pain;Costochondritis chest wall inflammation
1;221;1;Upper abdominal pain;Dissecting aortic aneurysm tearing and dilation of the aorta
1;241;0;Upper abdominal pain;Endometriosis uterine tissue outside the uterus
1;262;0;Upper abdominal pain;Esophageal stricture narrowing of the esophagus
1;265;0;Upper abdominal pain;Esophagitis esophageal inflammation
1;349;0;Upper abdominal pain;Hernia
1;388;0;Upper abdominal pain;Inguinal hernia groin hernia
1;426;0;Upper abdominal pain;Ligament sprain connection between two bones
1;539;0;Upper abdominal pain;Ovarian cyst female organ fluid collection
1;547;1;Upper abdominal pain;Pancreas inflammation pancreatitis, chronic
1;585;1;Upper abdominal pain;Pneumonia lung infection
1;589;0;Upper abdominal pain;Polycystic kidney disease inherited kidney disorder
1;637;1;Upper abdominal pain;Pyelonephritis kidney infection
1;698;0;Upper abdominal pain;Shingles herpes zoster
1;789;1;Upper abdominal pain;Unstable angina pre heart attack chest pain
1;793;0;Upper abdominal pain;Bladder infection cystitis, UTI, urinary tract infection
1;939;0;Upper abdominal pain;Umbilical hernia belly button hernia
1;975;0;Upper abdominal pain;Stomach cancer gastric cancer
1;991;0;Upper abdominal pain;Diverticulosis weakening of the large intestine wall
1;1046;0;Upper abdominal pain;Gastroparesis stomach muscle malfunction
1;1267;0;Upper abdominal pain;Gallbladder cancer
2;56;3;Lower abdominal pain;Appendicitis
2;179;2;Lower abdominal pain;Colonic diverticulitis inflammation of pouches in the large intestine
2;236;1;Lower abdominal pain;Ectopic pregnancy tubal pregnancy
2;388;2;Lower abdominal pain;Inguinal hernia groin hernia
2;539;1;Lower abdominal pain;Ovarian cyst female organ fluid collection
2;540;1;Lower abdominal pain;Ovarian torsion twisting of the ovary
2;557;1;Lower abdominal pain;Pelvic inflammatory disease PID, female reproductive organ infection
2;600;1;Lower abdominal pain;Premenstrual syndrome PMS
2;793;2;Lower abdominal pain;Bladder infection cystitis, UTI, urinary tract infection
2;795;1;Lower abdominal pain;Urine retention inability to urinate
2;513;1;Lower abdominal pain;Kidney stone nephrolithiasis
2;991;1;Lower abdominal pain;Diverticulosis weakening of the large intestine wall
2;187;2;Lower abdominal pain;Constipation
2;197;1;Lower abdominal pain;Crohn's disease regional enteritis, Crohn's colitis, intestinal inflammation
2;241;1;Lower abdominal pain;Endometriosis uterine tissue outside the uterus
2;788;0;Lower abdominal pain;Ulcerative colitis large intestine inflammation
2;139;1;Lower abdominal pain;Celiac disease celiac sprue
2;401;1;Lower abdominal pain;Irritable bowel syndrome IBS, chronic intestinal pain and cramping
2;988;1;Lower abdominal pain;Lactose intolerance
2;1115;2;Lower abdominal pain;Ventral hernia bulging of the abdominal wall
2;3;1;Lower abdominal pain;Abdominal trauma
2;25;0;Lower abdominal pain;Alcoholism
2;26;1;Lower abdominal pain;Allergic reaction
2;77;0;Lower abdominal pain;Bacterial vaginosis vaginal infection
2;149;0;Lower abdominal pain;Cervical cancer tumor
2;154;0;Lower abdominal pain;Cervicitis inflammation of the lower uterus
2;163;1;Lower abdominal pain;Cholecystitis inflammation of the gallbladder
2;165;0;Lower abdominal pain;Cholelithiasis gallstones
2;191;0;Lower abdominal pain;Contusion bruise, ecchymosis
2;242;0;Lower abdominal pain;Endometritis inflammation of the uterus
2;291;0;Lower abdominal pain;Fibromyalgia chronic pain disorder
2;308;0;Lower abdominal pain;Gastroenteritis intestinal infection
2;309;0;Lower abdominal pain;Gastroesophageal reflux GERD, heartburn
2;349;0;Lower abdominal pain;Hernia
2;426;0;Lower abdominal pain;Ligament sprain connection between two bones
2;470;0;Lower abdominal pain;Miscarriage
2;482;0;Lower abdominal pain;Multiple pregnancy twins, triplets, etc
2;547;1;Lower abdominal pain;Pancreas inflammation pancreatitis, chronic
2;578;1;Lower abdominal pain;Placenta previa placenta covers cervix
2;637;1;Lower abdominal pain;Pyelonephritis kidney infection
2;696;0;Lower abdominal pain;Sexually transmitted disease STD
2;781;0;Lower abdominal pain;Trichomonas vaginalis infection vaginal infection
2;805;0;Lower abdominal pain;Vaginitis vaginal infection inflammation
2;875;1;Lower abdominal pain;HIV AIDS Human Immunodeficiency Virus, Acquired Immune Deficiency Syndrome Human immunodeficiency virus [HIV] disease
2;939;0;Lower abdominal pain;Umbilical hernia belly button hernia
2;1277;0;Lower abdominal pain;Extragonadal germ cell tumors
3;44;1;Abscess (Collection of pus);Anorectal abscess (perirectal) abscess
3;106;1;Abscess (Collection of pus);Brain abscess collection of pus in the brain
3;108;0;Abscess (Collection of pus);Breast abscess collection of pus in the breast
3;707;2;Abscess (Collection of pus);Skin abscess collection of pus
3;209;2;Abscess (Collection of pus);Dental abscess tooth infection
3;250;1;Abscess (Collection of pus);Epidural abscess brain or spine pus collection
3;294;0;Abscess (Collection of pus);Finger pulp infection felon
3;432;0;Abscess (Collection of pus);Liver abscess collection of pus
3;439;1;Abscess (Collection of pus);Lung abscess collection of pus
3;568;3;Abscess (Collection of pus);Peritonsillar abscess collection of pus around tonsils
3;660;1;Abscess (Collection of pus);Retropharyngeal abscess throat abscess
3;720;1;Abscess (Collection of pus);Spinal abscess collection of spinal pus
3;849;0;Abscess (Collection of pus);Pilonidal cyst fluid filled sac on tailbone
3;892;3;Abscess (Collection of pus);Methicillin-resistant Staphylococcus aureus MRSA, type of bacteria
3;893;3;Abscess (Collection of pus);Staphylococcus aureus type of bacteria
3;930;2;Abscess (Collection of pus);Carbuncle
3;1289;0;Abscess (Collection of pus);Foot ulcer
4;20;1;Alcohol abuse;Alcohol  ethanol intoxication
4;22;2;Alcohol abuse;Alcohol  ethanol poisoning  (overdose)
4;23;2;Alcohol abuse;Alcohol withdrawal syndrome  (mild)
4;25;1;Alcohol abuse;Alcoholism
4;206;2;Alcohol abuse;Delirium tremens Â“DTsÂ”, severe alcohol withdrawal
4;172;1;Alcohol abuse;Cirrhosis liver failure and scarring
4;212;1;Alcohol abuse;Depression excessive sadness
4;306;1;Alcohol abuse;Gastric ulcer stomach ulcer
4;445;1;Alcohol abuse;Major depressive disorder severe depression
4;452;0;Alcohol abuse;Marijuana use
4;502;0;Alcohol abuse;Narcotic morphine, heroin abuse
4;546;1;Alcohol abuse;Pancreatitis pancreas inflammation
4;574;0;Alcohol abuse;Phobias irrational fear
4;601;0;Alcohol abuse;Prescription drug abuse
